idx,y_true,y_pred,topic,original,follow_up,raw
0,0,0,Maintaining stable weight,My weight has increased a lot these days.,"Follow-up: Due to my sedentary lifestyle and unhealthy eating habits, I've noticed a significant weight gain recently. I've been working from home, and without the routine of going to an office, I've found myself snacking more often. Additionally, I haven't been able to exercise regularly which has also contributed to this issue.",DECISION: 0
1,0,0,Maintaining stable weight,My weight has been going up a lot recently.,"Follow-up: Over the past few months, I've been less active due to working from home and have developed some unhealthy eating habits. These changes in my lifestyle have led to a steady weight gain. I've been trying to get back on track by incorporating more physical activity into my daily routine and making healthier food choices.",DECISION: 0
2,0,0,Maintaining stable weight,I get significantly amount of weight these days.,"Follow-up: In the past few months, I have noticed a steady increase in my weight. I believe this is largely due to my sedentary lifestyle induced by working from home and less physical activity. Additionally, I have been indulging in more comfort foods and snacks which are often high in calories. This combination of factors has led to my significant weight gain.",DECISION: 0
3,1,1,Maintaining stable weight,My weight has decreased a lot these days.,"Follow-up: Besides that, I've been finding it hard to concentrate at work. I've been making a lot of errors and it's not like me at all. It's been stressing me out.",DECISION: 1
4,1,1,Maintaining stable weight,My weight has been going down a lot recently.,"Follow-up: I have a cat named Whiskers. He's an orange tabby and is incredibly playful. We spend a lot of time playing together, and he always makes me smile.",DECISION: 1
5,0,0,Maintaining stable weight,I lost a lot of weight these days.,"Follow-up: I've been trying to maintain my weight but I've been finding it difficult. I have been under a lot of stress lately, which has affected my eating habits. I'm either not eating enough or eating unhealthy food. Coupled with lack of exercise, it's resulted in noticeable weight loss.",DECISION: 0
6,0,0,Managing mood,I am upset a lot.,"Follow-up: I feel upset because I have been under a lot of stress at work lately. The workload has increased significantly and the deadlines are very tight. Also, there have been some personal issues that I have been dealing with. All of these factors combined have resulted in me feeling upset a lot.",DECISION: 0
7,1,0,Managing mood,I am really upset these days.,"Follow-up: I'm trying to learn how to play guitar these days. It's a bit challenging, but I'm enjoying it.",DECISION: 0
8,1,0,Managing mood,I am really sad now.,"Follow-up: In my spare time, I love to paint. It's a hobby I picked up a few years ago. I find it therapeutic and it helps me express my emotions in a unique way.",DECISION: 0
9,0,0,Managing mood,I am really sad these days.,"Follow-up: My sadness stems from a variety of factors. I've been dealing with a lot of stress at work, and it's been affecting my mood and overall well-being. I'm also finding it hard to connect with my friends due to the pandemic. This isolation has been making me feel quite depressed. I'm trying to manage it by practicing mindfulness and taking care of my health, but it's been a tough journey.",DECISION: 0
