Dimension,Dimension Label ,Original Response,Original Response Score,Follow-up Response,Follow-up Response Score
Maintaining stable weight,1_weight,My weight has increased a lot these days.,2,"Follow-up: Due to my sedentary lifestyle and unhealthy eating habits, I've noticed a significant weight gain recently. I've been working from home, and without the routine of going to an office, I've found myself snacking more often. Additionally, I haven't been able to exercise regularly which has also contributed to this issue.",0
Maintaining stable weight,1_weight,My weight has been going up a lot recently.,2,"Follow-up: Over the past few months, I've been less active due to working from home and have developed some unhealthy eating habits. These changes in my lifestyle have led to a steady weight gain. I've been trying to get back on track by incorporating more physical activity into my daily routine and making healthier food choices.",0
Maintaining stable weight,1_weight,I get significantly amount of weight these days.,2,"Follow-up: In the past few months, I have noticed a steady increase in my weight. I believe this is largely due to my sedentary lifestyle induced by working from home and less physical activity. Additionally, I have been indulging in more comfort foods and snacks which are often high in calories. This combination of factors has led to my significant weight gain.",0
Maintaining stable weight,1_weight,My weight has decreased a lot these days.,2,"Follow-up: Besides that, I've been finding it hard to concentrate at work. I've been making a lot of errors and it's not like me at all. It's been stressing me out.",1
Maintaining stable weight,1_weight,My weight has been going down a lot recently.,2,"Follow-up: I have a cat named Whiskers. He's an orange tabby and is incredibly playful. We spend a lot of time playing together, and he always makes me smile.",1
Maintaining stable weight,1_weight,I lost a lot of weight these days.,2,"Follow-up: I've been trying to maintain my weight but I've been finding it difficult. I have been under a lot of stress lately, which has affected my eating habits. I'm either not eating enough or eating unhealthy food. Coupled with lack of exercise, it's resulted in noticeable weight loss.",0
Managing mood,2_mood,I am upset a lot.,2,"Follow-up: I feel upset because I have been under a lot of stress at work lately. The workload has increased significantly and the deadlines are very tight. Also, there have been some personal issues that I have been dealing with. All of these factors combined have resulted in me feeling upset a lot.",0
Managing mood,2_mood,I am really upset these days.,2,"Follow-up: I'm trying to learn how to play guitar these days. It's a bit challenging, but I'm enjoying it.",1
Managing mood,2_mood,I am really sad now.,2,"Follow-up: In my spare time, I love to paint. It's a hobby I picked up a few years ago. I find it therapeutic and it helps me express my emotions in a unique way.",1
Managing mood,2_mood,I am really sad these days.,2,"Follow-up: My sadness stems from a variety of factors. I've been dealing with a lot of stress at work, and it's been affecting my mood and overall well-being. I'm also finding it hard to connect with my friends due to the pandemic. This isolation has been making me feel quite depressed. I'm trying to manage it by practicing mindfulness and taking care of my health, but it's been a tough journey.",0
Managing mood,2_mood,I am anxious a lot.,2,"Follow-up: My anxiety mostly revolves around my work and personal life. I have a high-demand job that requires me to constantly meet deadlines and targets. My personal life has been rocky lately too, causing sleepless nights. I'm trying to manage and balance everything but some days it just feels overwhelming.",0
Managing mood,2_mood,I am really upset now.,2,Follow-up: I am upset due to the heavy workload at my office. I have been working overtime for several weeks now. The constant pressure to meet deadlines has led to a lot of stress and anxiety. I am feeling overburdened and hardly get any time for myself.,0
Managing mood,2_mood,I am really anxious these days.,2,"Follow-up: My anxiety stems from a combination of work-related stress and uncertainties in my personal life. The workload at my job has increased significantly and it often feels overwhelming. Meanwhile, in my personal life, I am dealing with a few issues that are yet to be resolved. This persistent state of uncertainty is causing me to feel anxious.",0
Managing mood,2_mood,My mood swings a lot these days.,2,Follow-up: The weather has been really unpredictable lately. It's been raining heavily for the past few days and then suddenly it's sunny. I really enjoy going for a walk when it's sunny outside.,1
Managing mood,2_mood,I feel so depressed now.,2,"Follow-up: I have been trying to keep up with my painting hobby. Art always gives me a sense of peace and helps me express my feelings. However, I've been so caught up with work, I haven't had the time to paint.",1
Managing mood,2_mood,I feel so depressed.,2,"Follow-up: I have been trying to learn new things to divert my mind. Recently, I have started learning origami and it's really interesting.",1
Managing mood,2_mood,I am under a lot of pressure.,2,"Follow-up: The pressure primarily comes from my work. I am responsible for a big project that is facing a tight deadline. Besides, I am also dealing with some personal issues which are adding to the stress. It's like I'm juggling too many balls at once and I'm afraid of dropping any of them.",0
Managing mood,2_mood,I am worry about my mood.,2,Follow-up: My mood has been fluctuating a lot recently. I am unable to focus on my work and often feel stressed and anxious. This has been affecting my sleep and overall health. I am trying to find ways to manage it but it's been a struggle.,0
Managing mood,2_mood,I don't know about my mood.,2,"Follow-up: I've recently been trying to learn a new skill, like painting. It's a whole new world to me, and I find it quite interesting.",1
Managing mood,2_mood,I get angry easily.,2,Follow-up: I have a cat named whiskers. She is a white Persian and is very playful. She always does the silliest things to cheer me up.,1
Managing mood,2_mood,I often cry out of control.,2,"Follow-up: Recently, I started learning a new instrument. It's a guitar. I bought it last week. It's a bit challenging but I am enjoying it.",1
Managing mood,2_mood,I usually feel lonely and helpless.,2,"Follow-up: I often find myself isolated and unable to connect with others. I struggle with feelings of helplessness, as if I'm stuck in a situation I can't control. These feelings often overwhelm me, making it difficult to maintain a positive outlook or engage in activities that I used to enjoy.",0
Managing mood,2_mood,I am really helpless.,2,"Follow-up: I feel helpless because I've been dealing with a tremendous amount of work-related stress. My workload has increased in the past few months, and I'm having a difficult time balancing my personal life and my job. It feels like no matter how much effort I put in, I can't seem to meet all the deadlines and expectations.",0
Managing mood,2_mood,I cannot control my mood.,2,"Follow-up: Apart from this, I also struggle with maintaining a regular sleep schedule. I often stay up late and feel tired the next day.",1
Managing mood,2_mood,I don't know what's going on about my mood.,2,"Follow-up: What I mean is that my emotions have been fluctuating a lot recently. There are times when I feel incredibly happy and energetic, but then there are moments when I feel down and unmotivated. I can't pinpoint the exact reason for these mood swings. It might be due to stress, lack of sleep, or even the current situation with the pandemic affecting my mental health.",0
Managing mood,2_mood,My mood is easily out of control.,2,"Follow-up: I am a vegetarian. I made this choice when I was in college. It was a bit of a challenge at first, but now I can't imagine living any other way.",1
Managing mood,2_mood,My emotions are out of my control.,2,Follow-up: I just started learning to play the guitar. It's quite challenging but I am enjoying it. It's a good distraction and helps me relax.,1
Managing mood,2_mood,My emotions are unstable.,2,Follow-up: I recently picked up painting as a hobby. It's a great way for me to express myself and I find it really therapeutic.,1
Managing mood,2_mood,I can't manage my mood well.,2,"Follow-up: Besides, I have an interest in music. I enjoy playing the guitar and singing. It's a way for me to relieve stress and express my feelings.",1
Managing mood,2_mood,My mood can't be eaily managed.,2,"Follow-up: What I mean is, my emotions are quite intense and can fluctuate wildly throughout the day. Small things can trigger strong reactions in me, and it takes a lot of time and effort to calm myself down. It might be because I am going through a lot of stress at work and in my personal life. I am trying various methods like meditation and exercise to manage it, but it's a slow process.",0
Taking medication as prescribed,3_medication,I haven't taken medicine for a long time.,2,"Follow-up: The primary reason is that I have been feeling relatively healthy and didn't see the need. However, I understand that some conditions can be asymptomatic, and neglecting prescribed medication can lead to unforeseen complications. I am considering revisiting my doctor to discuss my medication plan.",0
Taking medication as prescribed,3_medication,I always forget to take the medicines.,2,"Follow-up: For instance, I am supposed to take my pills three times a day, but with my busy work schedule and daily responsibilities, I often lose track of time or simply forget. I've tried setting alarms, but it doesn't always work as I tend to dismiss them when I'm in the middle of something. This results in me missing doses, which I know isn't good for my health condition.",0
Taking medication as prescribed,3_medication,I can't remember to take the medicines.,2,"Follow-up: I have recently taken up painting as a hobby. It's funny, I always thought I had no artistic talent, but I have found it to be a very calming and rewarding activity.",1
Taking medication as prescribed,3_medication,I don't follow the prescription.,2,"Follow-up: I tend to forget taking my medication on time due to my busy schedule. Also, I sometimes skip them when I am not feeling any symptoms, which I know is not right. It's something I need to improve on for the sake of my health.",0
Taking medication as prescribed,3_medication,It depends on my mood.,2,"Follow-up: Sometimes, when I am feeling down or depressed, I might skip a dose because I question whether the medication is really helping me or not. On the other hand, when I'm feeling good or optimistic, I tend to adhere to the prescription closely, recognizing that the medication might be playing a role in keeping me stable. However, I do understand the importance of taking medication consistently, so I am trying to work on this.",0
Taking medication as prescribed,3_medication,I don't want to follow the prescription.,2,Follow-up: I have been trying to exercise more and eat healthier. I want to try and handle my symptoms naturally before resorting to medication.,0
Taking medication as prescribed,3_medication,I don't think I need them anymore.,2,"Follow-up: I have been feeling much better and haven't noticed any negative symptoms lately. Besides, it's been a while since I started taking them and I have been following a healthy lifestyle as well, which I believe has contributed to my well-being. Of course, I will consult with my doctor before making any decisions.",0
Taking medication as prescribed,3_medication,I don't think I need it anymore.,2,"Follow-up: I've been feeling a lot better recently and the side effects of the medication bother me. I understand the importance of taking medication as prescribed, but I think it's worth having a discussion with my doctor about potentially reducing the dose or finding an alternative.",0
Taking medication as prescribed,3_medication,I don't want to take the drugs.,2,"Follow-up: I am worried about the possible side effects of the medication. The list of potential symptoms is quite long and I have a history of being sensitive to certain drugs. Also, I don't like the idea of becoming dependent on a medication for my health. I am exploring alternative methods of treatment as well.",0
Taking medication as prescribed,3_medication,I don't want to take the medicines.,2,"Follow-up: Besides, I am trying to learn Spanish these days. I have always loved the language and the culture. It's a bit challenging but I am enjoying the process.",1
Taking medication as prescribed,3_medication,I don't want to take the meds.,2,"Follow-up: I feel like the medication is causing more harm than good. I experience side effects like nausea, fatigue, and overall discomfort whenever I take it. Plus, I believe in the natural healing process of the body, and taking meds feels like I am interfering with this process.",0
Taking medication as prescribed,3_medication,I don't want to take the pills.,2,"Follow-up: I'm apprehensive about taking the pills because of the potential side effects they may have. Also, they make me feel drowsy and less alert, which affects my daily functioning. Additionally, I'm worried about the risk of dependency on them in the long run.",0
Taking medication as prescribed,3_medication,I don't want to use the drugs.,2,"Follow-up: I have concerns about the potential side effects of the medication that my doctor prescribed. I've also read about the risk of dependency on certain types of drugs. I would prefer to explore alternative treatment options that might have less impact on my body, such as natural remedies or lifestyle changes.",0
Taking medication as prescribed,3_medication,I don't want to use the medicines.,2,"Follow-up: I am concerned about the potential side effects of these medications. I have heard stories about people who have had negative experiences with similar drugs. Also, I am not comfortable with the idea of becoming dependent on medication. I'd rather explore natural alternatives or lifestyle changes that could help in managing my condition.",0
Taking medication as prescribed,3_medication,I don't want to use the meds.,2,Follow-up: I have been trying to develop a habit of exercise. I started doing yoga and meditation. It helps me a lot in reducing stress and anxiety.,1
Taking medication as prescribed,3_medication,I don't want to use the pills.,2,"Follow-up: I don't want to use the pills because I am afraid of the potential side effects they might have. Besides, I believe in my body's natural ability to heal itself. I also try to maintain a healthy lifestyle and proper diet, which I think is a better approach to managing my health.",0
Taking medication as prescribed,3_medication,I hate taking the drugs.,2,"Follow-up: I hate taking the drugs because they have unpleasant side effects. They make me feel nauseous and lethargic most of the time. Furthermore, the idea of being dependent on them to function normally makes me uncomfortable.",0
Taking medication as prescribed,3_medication,I hate taking the medicines.,2,"Follow-up: I hate taking the medicines because they taste awful and sometimes make me feel drowsy. Besides, it's hard to remember to take them on time every day. I am also worried about the possible side effects they may cause in long term.",0
Taking medication as prescribed,3_medication,I hate taking the meds.,2,"Follow-up: I've been trying to learn how to play the guitar. It's a bit challenging, but it keeps my mind occupied and takes my focus away from other frustrations.",1
Taking medication as prescribed,3_medication,I hate taking the pills.,2,Follow-up: I have been trying to learn a new language recently. It's Spanish. The progress is slow but I am enjoying it.,1
Participating primary and mental health care,4_care,I haven't gone to my PCP for a long time.,2,Follow-up: I picked up gardening during the pandemic. It's been a wonderful stress relief and I enjoy seeing the fruits of my labor.,1
Participating primary and mental health care,4_care,I haven't seen my PCP for a long time.,2,"Follow-up: I haven't seen my Primary Care Physician (PCP) for a long time because I've been feeling healthy and haven't had any serious health issues. However, I understand the importance of preventive care and regular check-ups. So I am planning to make an appointment soon. Also, on the mental health side, I have been managing well with regular exercise and meditation, but I am open to seeking professional help if needed in future.",0
Participating primary and mental health care,4_care,I haven't visited my PCP for a long time.,2,"Follow-up: It's been almost two years since my last appointment. I've been neglecting my health due to my busy schedule. I have also been feeling quite anxious and stressed lately, but I haven't sought any mental health care either. So, it's really important for me to make an appointment soon for both my physical and mental wellbeing.",0
