Dimension,Response
Yes,"Yes, I do."
Yes,"Yes, I have."
Yes,"Yes, I am."
Yes,"Yeap, I am."
Yes,"Yeap, I have."
Yes,"Yep, I have."
Yes,I have.
Yes,I guess so.
Yes,I think so.
Yes,I believe so.
Yes,All the time.
Yes,Always.
Yes,My friends.
Yes,My family.
Yes,My partner.
Yes,My wife.
Yes,My girlfriend.
Yes,My boyfriend.
Yes,My husband.
Yes,My pet.
Yes,My cat.
Yes,My relatives.
Yes,My colleagues.
Yes,My therapist.
Yes,"Yep, I do."
Yes,Yep.
Yes,Sure.
Yes,Yes.
Yes,"Um, fine."
Yes,"Um, Sure."
Yes,"Um, yes."
Yes,"Umm, yup."
Yes,"Umm, ok."
Yes,"Umm, okay."
Yes,"Ugh, ok."
Yes,"Ugh, okay."
Yes,"Uh, yes."
Yes,"Uh, yep."
Yes,"Uh, yup."
Yes,"Uh, yea."
Yes,"Uh, sure."
Yes,"Hmm, ok."
Yes,Why not.
Yes,"Hmm, okay."
Yes,That happens a lot.
Yes,Usually.
Yes,I usually do so.
Yes,I am better than most people.
Yes,"Yup, I do."
Yes,Yup.
Yes,Of course.
Yes,"Yeah, I do."
Yes,"Yeah, I have."
Yes,"Yeah, I am."
Yes,"Mhm, I do."
Yes,"Mhm, I have."
Yes,"Mhm, I am."
Yes,For sure.
Yes,Absolutely.
Yes,Indeed.
Yes,Totally.
Yes,Definitely.
Yes,"Of course, I do."
Yes,"Of course, I have."
Yes,You bet.
Yes,For real.
Yes,I’d say so.
Yes,Most likely.
Yes,Pretty much.
Yes,Why not?
Yes,I suppose so.
Yes,100%.
Yes,Sure thing.
Yes,You got it.
Yes,Exactly.
Yes,Sounds right.
Yes,That’s correct.
Yes,True.
Yes,Affirmative.
Yes,Certainly.
Yes,By all means.
Yes,That works.
Yes,That’s a yes from me.
Yes,Can’t argue with that.
Yes,Right on.
Yes,Count me in.
Yes,That’s the case.
Yes,I wouldn’t say no.
No,No.
No,I guess not.
No,These days I am not.
No,Not recently.
No,Really bad.
No,Not good at all.
No,I don't want to tell you.
No,Not really.
No,I don't.
No,I do not.
No,Always not.
No,"I don't think so, maybe."
No,I don't think so.
No,Nope.
No,"No, I don't."
No,"No, I haven't."
No,I am not.
No,Only once in a while.
No,Never.
No,Never ever.
No,I never do that.
No,"No, I am not."
No,"No, I never do that."
No,"Nope, I never."
No,Definitely no.
No,"Uh, I don't know."
No,Of course not.
No,You tell me.
No,"Uh, you tell me."
No,I don't know.
No,Not at all.
No,No way.
No,Haven’t done that.
No,Can’t recall doing that.
No,Not in a long time.
No,I highly doubt it.
No,Can’t say that I have.
No,Not even close.
No,That’s not me.
No,I don’t think so.
No,Not once.
No,Far from it.
No,"I wish, but no."
No,"Unfortunately, no."
No,No shot.
No,I wouldn’t say so.
No,Doesn’t seem like it.
No,Not happening.
No,Not at this moment.
No,"Not really, no."
No,That’s a no from me.
No,Can’t say yes to that.
No,I wouldn’t count on it.
No,No chance.
No,Not gonna happen.
No,That’s a no from me.
No,Not my thing.
No,Not exactly.
No,Doesn’t look like it.
No,I’d rather not.
No,Not feeling it.
No,Highly unlikely.
No,I wouldn’t bet on it.
No,That’s not happening.
No,Zero chance.
Stop,I don't want to talk to you.
Stop,Stop.
Stop,Shut up.
Stop,Go fuck yourself.
Stop,Talk to me later.
Stop,I am really busy now.
Stop,I don't want to talk now.
Stop,Let's do this later.
Stop,Not now.
Stop,Stop asking me questions.
