idx,y_true,y_pred,response,raw
0,Yes,Yes,"Yes, I do.","Yes, 0"
1,Yes,Yes,"Yes, I have.","Yes, 0"
2,Yes,Yes,"Yes, I am.","Yes, 0"
3,Yes,Yes,"Yeap, I am.","Yes, 0"
4,Yes,Yes,"Yeap, I have.","Yes, 0"
5,Yes,Yes,"Yep, I have.","Yes, 0"
6,Yes,Yes,I have.,"Yes, 0"
7,Yes,Maybe,I guess so.,"Maybe, 0"
8,Yes,Maybe,I think so.,"Maybe, 0"
9,Yes,Maybe,I believe so.,"Maybe, 0"
10,Yes,Unknown,All the time.,"Other, 0"
11,Yes,Yes,Always.,"Yes, 0"
12,Yes,Unknown,My friends.,"Other, 0"
13,Yes,Unknown,My family.,"Other, 0"
14,Yes,Unknown,My partner.,"Other, 0"
15,Yes,Unknown,My wife.,"Other, 0"
16,Yes,Unknown,My girlfriend.,"Other, 0"
17,Yes,Unknown,My boyfriend.,"Other, 0"
18,Yes,Unknown,My husband.,"Other, 0"
19,Yes,Unknown,My pet.,"Other, 0"
20,Yes,Unknown,My cat.,"Other, 0"
21,Yes,Unknown,My relatives.,"Other, 0"
22,Yes,Unknown,My colleagues.,"Other, 0"
23,Yes,Unknown,My therapist.,"Other, 0"
24,Yes,Yes,"Yep, I do.","Yes, 0"
25,Yes,Yes,Yep.,"Yes, 0"
26,Yes,Yes,Sure.,"Yes, 0"
27,Yes,Yes,Yes.,"Yes, 0"
28,Yes,Maybe,"Um, fine.","Maybe, 0"
29,Yes,Yes,"Um, Sure.","Yes, 0"
30,Yes,Yes,"Um, yes.","Yes, 0"
31,Yes,Yes,"Umm, yup.","Yes, 0"
32,Yes,Yes,"Umm, ok.","Yes, 0"
33,Yes,Unknown,"Umm, okay.","Other, 0"
34,Yes,Unknown,"Ugh, ok.","Other, 0"
35,Yes,Unknown,"Ugh, okay.","Other, 0"
36,Yes,Yes,"Uh, yes.","Yes, 0"
37,Yes,Yes,"Uh, yep.","Yes, 0"
38,Yes,Yes,"Uh, yup.","Yes, 0"
39,Yes,Yes,"Uh, yea.","Yes, 0"
40,Yes,Yes,"Uh, sure.","Yes, 0"
41,Yes,Unknown,"Hmm, ok.","Other, 0"
42,Yes,Question,Why not.,"Question, 0"
43,Yes,Unknown,"Hmm, okay.","Other, 0"
44,Yes,Unknown,That happens a lot.,"Other, 0"
45,Yes,Maybe,Usually.,"Maybe, 0"
46,Yes,Yes,I usually do so.,"Yes, 0"
47,Yes,Unknown,I am better than most people.,"Other, 0"
48,Yes,Yes,"Yup, I do.","Yes, 0"
49,Yes,Yes,Yup.,"Yes, 0"
50,Yes,Yes,Of course.,"Yes, 0"
51,Yes,Yes,"Yeah, I do.","Yes, 0"
52,Yes,Yes,"Yeah, I have.","Yes, 0"
53,Yes,Yes,"Yeah, I am.","Yes, 0"
54,Yes,Yes,"Mhm, I do.","Yes, 0"
55,Yes,Yes,"Mhm, I have.","Yes, 0"
56,Yes,Yes,"Mhm, I am.","Yes, 0"
