idx,y_true,y_pred,dimension_label,response,raw,dim_pred
0,0,0,1_weight,There's no change with my weight.,"1_weight, 0",1_weight
1,0,0,1_weight,My weight is same as before.,"1_weight, 0",1_weight
2,0,0,1_weight,My weight stays the same.,"1_weight, 0",1_weight
3,0,0,1_weight,My weight hasn't changed much.,"1_weight, 0",1_weight
4,0,0,1_weight,My weight doesn't change much.,"1_weight, 0",1_weight
5,0,0,1_weight,My weight hasn't flutuated much.,"1_weight, 0",1_weight
6,0,0,1_weight,My weight doesn't fluctuate much.,"1_weight, 0",1_weight
7,0,0,1_weight,My weight is stable these days.,"1_weight, 0",1_weight
8,0,0,1_weight,My weight has been pretty stable.,"1_weight, 0",1_weight
9,0,0,1_weight,No noticeable changes in my weight.,"1_weight, 0",1_weight
10,0,0,1_weight,My weight has remained consistent.,"1_weight, 0",1_weight
11,0,0,1_weight,I don't think my weight has changed recently.,"1_weight, 0",1_weight
12,0,0,1_weight,My weight has been steady for a while.,"1_weight, 0",1_weight
13,0,0,1_weight,I feel like my weight is about the same as usual.,"1_weight, 0",1_weight
14,0,0,1_weight,No major weight fluctuations for me.,"1_weight, 0",1_weight
15,0,0,1_weight,I haven't noticed any difference in my weight.,"1_weight, 0",1_weight
16,0,0,1_weight,I maintain my weight well.,"1_weight, 0",1_weight
17,0,0,1_weight,My weight is still within my usual range.,"1_weight, 0",1_weight
18,0,0,1_weight,I don't feel heavier or lighter than before.,"1_weight, 0",1_weight
19,0,0,1_weight,"No concerns with my weight, it's pretty stable.","1_weight, 0",1_weight
20,0,0,1_weight,I haven't lost or gained weight recently.,"1_weight, 0",1_weight
21,0,0,1_weight,Everything seems normal with my weight.,"1_weight, 0",1_weight
22,1,1,1_weight,I gain some weight recently.,"1_weight, 1",1_weight
23,1,1,1_weight,I am getting fatter these days.,"1_weight, 1",1_weight
24,1,1,1_weight,I lost some weight these days.,"1_weight, 1",1_weight
25,1,1,1_weight,I lost some weight recently.,"1_weight, 1",1_weight
26,1,1,1_weight,I get some weight these days.,"1_weight, 1",1_weight
27,1,1,1_weight,I am on diet to lose weight.,"1_weight, 1",1_weight
28,1,1,1_weight,I got a little bit weight these days.,"1_weight, 1",1_weight
29,1,1,1_weight,I gain a little bit weight these days.,"1_weight, 1",1_weight
30,1,1,1_weight,I loss a little bit weight these days.,"1_weight, 1",1_weight
31,1,1,1_weight,My weight has increased a little bit.,"1_weight, 1",1_weight
32,1,1,1_weight,I've gained a few pounds recently.,"1_weight, 1",1_weight
33,1,1,1_weight,"My weight is slightly up, but nothing drastic.","1_weight, 1",1_weight
34,1,1,1_weight,I think I've put on a little weight.,"1_weight, 1",1_weight
35,1,1,1_weight,"I've lost a few pounds, but it's not a big concern.","1_weight, 1",1_weight
36,1,1,1_weight,I feel a little heavier than before.,"1_weight, 1",1_weight
37,1,1,1_weight,I think my weight is fluctuating a bit.,"1_weight, 1",1_weight
38,1,1,1_weight,My clothes are fitting a bit tighter than usual.,"1_weight, 1",1_weight
39,1,1,1_weight,I noticed some minor weight gain recently.,"1_weight, 1",1_weight
40,1,1,1_weight,"I've been losing a little weight, but I'm not too worried.","1_weight, 1",1_weight
41,1,1,1_weight,"I've been eating more than usual, so I think I gained some weight.","1_weight, 1",1_weight
42,1,1,1_weight,"I've been dieting, and I lost a little weight.","1_weight, 1",1_weight
43,1,1,1_weight,My weight is slightly lower than before.,"1_weight, 1",1_weight
44,1,1,1_weight,"I think my weight is shifting a little, but not too much.","1_weight, 1",1_weight
45,1,1,1_weight,"I’ve noticed some small changes in my weight, but nothing alarming.","1_weight, 1",1_weight
46,2,2,1_weight,I didn't measure my weight recently.,"1_weight, 2",1_weight
47,2,2,1_weight,My weight has increased a lot these days.,"1_weight, 2",1_weight
48,2,2,1_weight,My weight has been going up a lot recently.,"1_weight, 2",1_weight
49,2,2,1_weight,I get significantly amount of weight these days.,"1_weight, 2",1_weight
50,2,2,1_weight,My weight has decreased a lot these days.,"1_weight, 2",1_weight
51,2,2,1_weight,My weight has been going down a lot recently.,"1_weight, 2",1_weight
52,2,2,1_weight,I lost a lot of weight these days.,"1_weight, 2",1_weight
53,2,2,1_weight,"I've been losing weight rapidly, and I don’t know why.","1_weight, 2",1_weight
54,2,2,1_weight,"I’ve gained a significant amount of weight, and I’m concerned.","1_weight, 2",1_weight
55,2,2,1_weight,My weight has been fluctuating a lot in a short period.,"1_weight, 2",1_weight
56,2,2,1_weight,"I lost a lot of weight without trying, and it's worrying me.","1_weight, 2",1_weight
57,2,2,1_weight,I can't seem to stop gaining weight no matter what I do.,"1_weight, 2",1_weight
58,2,2,1_weight,"My weight keeps dropping, and I feel weaker.","1_weight, 2",1_weight
59,2,2,1_weight,I've gained an unhealthy amount of weight recently.,"1_weight, 2",1_weight
60,2,2,1_weight,I feel like my weight is out of control.,"1_weight, 2",1_weight
61,2,2,1_weight,I lost so much weight that my clothes don’t fit anymore.,"1_weight, 2",1_weight
62,2,2,1_weight,"I have no appetite, and I’ve been losing weight quickly.","1_weight, 2",1_weight
63,2,2,1_weight,My weight gain is affecting my daily activities.,"1_weight, 2",1_weight
64,2,1,1_weight,"I’ve been trying to manage my weight, but nothing is working.","1_weight, 1",1_weight
65,2,2,1_weight,I feel like I’ve put on too much weight too fast.,"1_weight, 2",1_weight
66,2,2,1_weight,My sudden weight change is starting to affect my health.,"1_weight, 2",1_weight
67,2,2,1_weight,"I can't control my weight changes, and it’s becoming a serious issue.","1_weight, 2",1_weight
68,2,2,1_weight,"My weight has changed drastically, and I don’t know why.","1_weight, 2",1_weight
69,2,2,1_weight,I've been gaining a lot of weight even though my diet hasn't changed.,"1_weight, 2",1_weight
70,2,2,1_weight,"I’ve been losing weight rapidly, and it’s making me feel unwell.","1_weight, 2",1_weight
71,2,2,1_weight,I recently enjoy having fried chicken so much so I gained too much weight that I don't want.,"1_weight, 2",1_weight
72,0,1,2_mood,"I feel okay today. I'm a little anxious because I have a lot of things to do, but overall I'm feeling okay.","2_mood, 1",2_mood
73,0,0,2_mood,I am doing alright.,"2_mood, 0",2_mood
74,0,0,2_mood,My mood has been good.,"2_mood, 0",2_mood
75,0,0,2_mood,My mood doesn't swing too much.,"2_mood, 0",2_mood
76,0,0,2_mood,My don't have any mood swing.,"2_mood, 0",2_mood
77,0,0,2_mood,I am doing fine.,"2_mood, 0",2_mood
78,0,0,2_mood,I am doing great.,"2_mood, 0",2_mood
79,0,0,2_mood,My mood is okay.,"2_mood, 0",2_mood
80,0,0,2_mood,My mood is fine.,"2_mood, 0",2_mood
81,0,0,2_mood,So far so good.,"Yes, 0","NA, 99"
82,0,0,2_mood,I am doing well.,"2_mood, 0",2_mood
83,0,0,2_mood,Not bad.,"2_mood, 0",2_mood
84,0,0,2_mood,Not too bad.,"2_mood, 0",2_mood
85,0,0,2_mood,I feel good.,"2_mood, 0",2_mood
86,0,0,2_mood,I feel great.,"2_mood, 0",2_mood
87,0,0,2_mood,I feel excellent.,"2_mood, 0",2_mood
88,0,0,2_mood,I feel peaceful.,"2_mood, 0",2_mood
