Dimension,Dimension Label,Score,Response
Maintaining stable weight,1_weight,0,There's no change with my weight.
Maintaining stable weight,1_weight,0,My weight is same as before.
Maintaining stable weight,1_weight,0,My weight stays the same.
Maintaining stable weight,1_weight,0,My weight hasn't changed much.
Maintaining stable weight,1_weight,0,My weight doesn't change much.
Maintaining stable weight,1_weight,0,My weight hasn't flutuated much.
Maintaining stable weight,1_weight,0,My weight doesn't fluctuate much.
Maintaining stable weight,1_weight,0,My weight is stable these days.
Maintaining stable weight,1_weight,0,My weight has been pretty stable.
Maintaining stable weight,1_weight,0,No noticeable changes in my weight.
Maintaining stable weight,1_weight,0,My weight has remained consistent.
Maintaining stable weight,1_weight,0,I don't think my weight has changed recently.
Maintaining stable weight,1_weight,0,My weight has been steady for a while.
Maintaining stable weight,1_weight,0,I feel like my weight is about the same as usual.
Maintaining stable weight,1_weight,0,No major weight fluctuations for me.
Maintaining stable weight,1_weight,0,I haven't noticed any difference in my weight.
Maintaining stable weight,1_weight,0,I maintain my weight well.
Maintaining stable weight,1_weight,0,My weight is still within my usual range.
Maintaining stable weight,1_weight,0,I don't feel heavier or lighter than before.
Maintaining stable weight,1_weight,0,"No concerns with my weight, it's pretty stable."
Maintaining stable weight,1_weight,0,I haven't lost or gained weight recently.
Maintaining stable weight,1_weight,0,Everything seems normal with my weight.
Maintaining stable weight,1_weight,1,I gain some weight recently.
Maintaining stable weight,1_weight,1,I am getting fatter these days.
Maintaining stable weight,1_weight,1,I lost some weight these days.
Maintaining stable weight,1_weight,1,I lost some weight recently.
Maintaining stable weight,1_weight,1,I get some weight these days.
Maintaining stable weight,1_weight,1,I am on diet to lose weight.
Maintaining stable weight,1_weight,1,I got a little bit weight these days.
Maintaining stable weight,1_weight,1,I gain a little bit weight these days.
Maintaining stable weight,1_weight,1,I loss a little bit weight these days.
Maintaining stable weight,1_weight,1,My weight has increased a little bit.
Maintaining stable weight,1_weight,1,I've gained a few pounds recently.
Maintaining stable weight,1_weight,1,"My weight is slightly up, but nothing drastic."
Maintaining stable weight,1_weight,1,I think I've put on a little weight.
Maintaining stable weight,1_weight,1,"I've lost a few pounds, but it's not a big concern."
Maintaining stable weight,1_weight,1,I feel a little heavier than before.
Maintaining stable weight,1_weight,1,I think my weight is fluctuating a bit.
Maintaining stable weight,1_weight,1,My clothes are fitting a bit tighter than usual.
Maintaining stable weight,1_weight,1,I noticed some minor weight gain recently.
Maintaining stable weight,1_weight,1,"I've been losing a little weight, but I'm not too worried."
Maintaining stable weight,1_weight,1,"I've been eating more than usual, so I think I gained some weight."
Maintaining stable weight,1_weight,1,"I've been dieting, and I lost a little weight."
Maintaining stable weight,1_weight,1,My weight is slightly lower than before.
Maintaining stable weight,1_weight,1,"I think my weight is shifting a little, but not too much."
Maintaining stable weight,1_weight,1,"I’ve noticed some small changes in my weight, but nothing alarming."
Maintaining stable weight,1_weight,2,I didn't measure my weight recently.
Maintaining stable weight,1_weight,2,My weight has increased a lot these days.
Maintaining stable weight,1_weight,2,My weight has been going up a lot recently.
Maintaining stable weight,1_weight,2,I get significantly amount of weight these days.
Maintaining stable weight,1_weight,2,My weight has decreased a lot these days.
Maintaining stable weight,1_weight,2,My weight has been going down a lot recently.
Maintaining stable weight,1_weight,2,I lost a lot of weight these days.
Maintaining stable weight,1_weight,2,"I've been losing weight rapidly, and I don’t know why."
Maintaining stable weight,1_weight,2,"I’ve gained a significant amount of weight, and I’m concerned."
Maintaining stable weight,1_weight,2,My weight has been fluctuating a lot in a short period.
Maintaining stable weight,1_weight,2,"I lost a lot of weight without trying, and it's worrying me."
Maintaining stable weight,1_weight,2,I can't seem to stop gaining weight no matter what I do.
Maintaining stable weight,1_weight,2,"My weight keeps dropping, and I feel weaker."
Maintaining stable weight,1_weight,2,I've gained an unhealthy amount of weight recently.
Maintaining stable weight,1_weight,2,I feel like my weight is out of control.
Maintaining stable weight,1_weight,2,I lost so much weight that my clothes don’t fit anymore.
Maintaining stable weight,1_weight,2,"I have no appetite, and I’ve been losing weight quickly."
Maintaining stable weight,1_weight,2,My weight gain is affecting my daily activities.
Maintaining stable weight,1_weight,2,"I’ve been trying to manage my weight, but nothing is working."
Maintaining stable weight,1_weight,2,I feel like I’ve put on too much weight too fast.
Maintaining stable weight,1_weight,2,My sudden weight change is starting to affect my health.
Maintaining stable weight,1_weight,2,"I can't control my weight changes, and it’s becoming a serious issue."
Maintaining stable weight,1_weight,2,"My weight has changed drastically, and I don’t know why."
Maintaining stable weight,1_weight,2,I've been gaining a lot of weight even though my diet hasn't changed.
Maintaining stable weight,1_weight,2,"I’ve been losing weight rapidly, and it’s making me feel unwell."
Maintaining stable weight,1_weight,2,I recently enjoy having fried chicken so much so I gained too much weight that I don't want.
Managing mood,2_mood,0,"I feel okay today. I'm a little anxious because I have a lot of things to do, but overall I'm feeling okay."
Managing mood,2_mood,0,I am doing alright.
Managing mood,2_mood,0,My mood has been good.
Managing mood,2_mood,0,My mood doesn't swing too much.
Managing mood,2_mood,0,My don't have any mood swing.
Managing mood,2_mood,0,I am doing fine.
Managing mood,2_mood,0,I am doing great.
Managing mood,2_mood,0,My mood is okay.
Managing mood,2_mood,0,My mood is fine.
Managing mood,2_mood,0,So far so good.
Managing mood,2_mood,0,I am doing well.
Managing mood,2_mood,0,Not bad.
Managing mood,2_mood,0,Not too bad.
Managing mood,2_mood,0,I feel good.
Managing mood,2_mood,0,I feel great.
Managing mood,2_mood,0,I feel excellent.
Managing mood,2_mood,0,I feel peaceful.
Managing mood,2_mood,0,I can easily manage my mood.
Managing mood,2_mood,0,My emotions are stable.
Managing mood,2_mood,0,I feel relaxed and content.
Managing mood,2_mood,0,I’m in a good mood today.
Managing mood,2_mood,0,"No mood issues, I feel stable."
Managing mood,2_mood,0,I don’t have any emotional distress.
Managing mood,2_mood,0,Everything seems fine emotionally.
Managing mood,2_mood,0,I feel emotionally balanced.
Managing mood,2_mood,0,No major mood changes for me.
Managing mood,2_mood,0,I'm feeling cheerful.
Managing mood,2_mood,0,I feel emotionally strong.
Managing mood,2_mood,0,I feel happy most of the time.
Managing mood,2_mood,0,I have a stable mood throughout the day.
Managing mood,2_mood,0,I don’t feel stressed or anxious.
Managing mood,2_mood,0,I’ve been feeling optimistic.
Managing mood,2_mood,0,I'm feeling energetic and upbeat.
Managing mood,2_mood,0,I feel emotionally in control.
Managing mood,2_mood,0,My emotions are manageable.
Managing mood,2_mood,0,I haven’t had any mood swings recently.
Managing mood,2_mood,0,I feel emotionally well.
Managing mood,2_mood,0,I have a positive outlook.
Managing mood,2_mood,0,I feel hopeful about things.
Managing mood,2_mood,0,I'm maintaining a good mental state.
Managing mood,2_mood,0,I'm emotionally resilient.
Managing mood,2_mood,0,I feel lighthearted.
Managing mood,2_mood,0,I'm feeling emotionally steady.
Managing mood,2_mood,0,I feel like my usual self.
Managing mood,2_mood,0,I feel at peace with everything.
Managing mood,2_mood,0,I’m content with how things are.
Managing mood,2_mood,0,I don’t feel overwhelmed.
Managing mood,2_mood,0,I feel emotionally refreshed.
Managing mood,2_mood,0,My mind is at ease.
Managing mood,2_mood,0,I’m in a calm and relaxed mood.
Managing mood,2_mood,0,I feel stable emotionally and mentally.
Managing mood,2_mood,0,"No big mood shifts, I feel good."
Managing mood,2_mood,0,"I had a great weekend, and I’m feeling really refreshed!"
Managing mood,2_mood,0,"Things have been going well, and I’ve been feeling happy and content."
Managing mood,2_mood,0,"I feel at peace with where I am right now, no major worries on my mind."
Managing mood,2_mood,0,"I’ve been making time for things I enjoy, and it’s helping me stay in a good mood."
Managing mood,2_mood,1,I have mood swings.
Managing mood,2_mood,1,I am stressed out.
Managing mood,2_mood,1,I am frustrated.
Managing mood,2_mood,1,I feel dejected.
Managing mood,2_mood,1,I feel frustrated.
Managing mood,2_mood,1,I don't have anything to tell about my mood.
Managing mood,2_mood,1,My mood doesn't go well.
Managing mood,2_mood,1,I feel homesick.
Managing mood,2_mood,1,I am not doing well.
Managing mood,2_mood,1,I am just upset.
Managing mood,2_mood,1,I am a little bit upset these days.
Managing mood,2_mood,1,I am sad.
Managing mood,2_mood,1,I am anxious.
Managing mood,2_mood,1,I am a little bit angst.
Managing mood,2_mood,1,I feel anxious.
Managing mood,2_mood,1,I experience mood swings.
Managing mood,2_mood,1,I feel dispirited.
Managing mood,2_mood,1,I feel depressed.
Managing mood,2_mood,1,I am bad-tempered.
Managing mood,2_mood,1,I am unhappy.
Managing mood,2_mood,1,I'm feeling a little unstable.
Managing mood,2_mood,1,I feel a little off today.
Managing mood,2_mood,1,I've been feeling a bit low.
Managing mood,2_mood,1,I'm having some minor mood swings.
Managing mood,2_mood,1,"Some days I feel down, but it's manageable."
Managing mood,2_mood,1,I feel a bit irritable lately.
Managing mood,2_mood,1,I get sad occasionally.
Managing mood,2_mood,1,My emotions are a little unpredictable.
Managing mood,2_mood,1,I’ve been feeling somewhat anxious.
Managing mood,2_mood,1,I have some mood fluctuations.
Managing mood,2_mood,1,I’m feeling slightly overwhelmed.
Managing mood,2_mood,1,I get stressed easily these days.
Managing mood,2_mood,1,I have minor mood swings now and then.
Managing mood,2_mood,1,I'm dealing with some emotional stress.
Managing mood,2_mood,1,I have been feeling slightly uneasy.
Managing mood,2_mood,1,"I get emotional sometimes, but it's not extreme."
Managing mood,2_mood,1,I've had some moments of sadness.
Managing mood,2_mood,1,I occasionally feel down without a reason.
Managing mood,2_mood,1,I've been feeling a little off-balance emotionally.
Managing mood,2_mood,1,I have some trouble managing stress.
Managing mood,2_mood,1,My mood is slightly unstable.
Managing mood,2_mood,1,"I sometimes feel lonely, but it’s not too bad."
Managing mood,2_mood,1,I’ve been feeling unmotivated.
Managing mood,2_mood,1,I'm a little on edge.
Managing mood,2_mood,1,I have small emotional ups and downs.
Managing mood,2_mood,1,I feel like I need a break emotionally.
Managing mood,2_mood,1,I feel mentally drained but not overwhelmed.
Managing mood,2_mood,1,I'm experiencing some tension.
Managing mood,2_mood,1,My mood has been fluctuating mildly.
Managing mood,2_mood,1,I’m slightly more irritable than usual.
Managing mood,2_mood,1,I’ve been feeling a little restless.
Managing mood,2_mood,1,"I’m managing my emotions, but it takes effort."
Managing mood,2_mood,1,"I’ve been feeling a bit off, but I’m trying to stay positive and push through it."
Managing mood,2_mood,1,"Work has been stressful lately, and I find myself feeling more irritable than usual."
Managing mood,2_mood,1,"I have moments where I feel down, but I try to distract myself with hobbies."
Managing mood,2_mood,1,"I feel like I’m on an emotional rollercoaster, some good days, some not so great."
Managing mood,2_mood,1,"I’ve been feeling a little lonely lately, but I’m managing the best I can."
Managing mood,2_mood,2,I am anxious a lot.
Managing mood,2_mood,2,I am really upset now.
Managing mood,2_mood,2,I am really anxious these days.
Managing mood,2_mood,2,My mood swings a lot these days.
Managing mood,2_mood,2,I am really sad these days.
Managing mood,2_mood,2,I feel so depressed now.
Managing mood,2_mood,2,I feel so depressed.
Managing mood,2_mood,2,I am under a lot of pressure.
Managing mood,2_mood,2,I am worry about my mood.
Managing mood,2_mood,2,I don't know about my mood.
Managing mood,2_mood,2,I get angry easily.
Managing mood,2_mood,2,I often cry out of control.
Managing mood,2_mood,2,I usually feel lonely and helpless.
Managing mood,2_mood,2,I am really helpless.
Managing mood,2_mood,2,I cannot control my mood.
Managing mood,2_mood,2,I don't know what's going on about my mood.
Managing mood,2_mood,2,My mood is easily out of control.
Managing mood,2_mood,2,My emotions are out of my control.
Managing mood,2_mood,2,My emotions are unstable.
Managing mood,2_mood,2,I can't manage my mood well.
Managing mood,2_mood,2,My mood can't be eaily managed.
Managing mood,2_mood,2,I am upset a lot.
Managing mood,2_mood,2,I am really upset these days.
Managing mood,2_mood,2,I am really sad now.
Managing mood,2_mood,2,I feel emotionally drained all the time.
Managing mood,2_mood,2,I can't control my emotions lately.
Managing mood,2_mood,2,I feel deeply sad every day.
Managing mood,2_mood,2,I have frequent panic attacks.
Managing mood,2_mood,2,I don't see any joy in life anymore.
Managing mood,2_mood,2,I have no motivation to do anything.
Managing mood,2_mood,2,I feel emotionally exhausted and hopeless.
Managing mood,2_mood,2,I can't seem to shake off my sadness.
Managing mood,2_mood,2,I cry a lot and don’t know why.
Managing mood,2_mood,2,My emotions are completely out of control.
Managing mood,2_mood,2,I feel numb most of the time.
Managing mood,2_mood,2,I’ve been isolating myself because of my mood.
Managing mood,2_mood,2,I feel overwhelmed to the point of breaking down.
Managing mood,2_mood,2,I’ve been struggling with extreme mood swings.
Managing mood,2_mood,2,I have trouble getting out of bed due to my mood.
Managing mood,2_mood,2,I feel emotionally detached from everyone.
Managing mood,2_mood,2,I get uncontrollably angry over small things.
Managing mood,2_mood,2,I feel like my emotions are spiraling out of control.
Managing mood,2_mood,2,I'm struggling to cope with daily life.
Managing mood,2_mood,2,I can't focus because of how bad I feel emotionally.
