idx,y_true,y_pred,dimension_label,response,raw
0,0,0,1_weight,There's no change with my weight.,"1_weight, 0"
1,0,0,1_weight,My weight is same as before.,"1_weight, 0"
2,0,0,1_weight,My weight stays the same.,"1_weight, 0"
3,0,0,1_weight,My weight hasn't changed much.,"1_weight, 0"
4,0,0,1_weight,My weight doesn't change much.,"1_weight, 0"
5,0,0,1_weight,My weight hasn't flutuated much.,"1_weight, 0"
6,0,0,1_weight,My weight doesn't fluctuate much.,"1_weight, 0"
7,0,0,1_weight,My weight is stable these days.,"1_weight, 0"
8,0,0,1_weight,My weight has been pretty stable.,"1_weight, 0"
9,0,0,1_weight,No noticeable changes in my weight.,"1_weight, 0"
10,0,0,1_weight,My weight has remained consistent.,"1_weight, 0"
11,0,0,1_weight,I don't think my weight has changed recently.,"1_weight, 0"
12,0,0,1_weight,My weight has been steady for a while.,"1_weight, 0"
13,0,0,1_weight,I feel like my weight is about the same as usual.,"1_weight, 0"
14,0,0,1_weight,No major weight fluctuations for me.,"1_weight, 0"
15,0,0,1_weight,I haven't noticed any difference in my weight.,"1_weight, 0"
16,0,0,1_weight,I maintain my weight well.,"1_weight, 0"
17,0,0,1_weight,My weight is still within my usual range.,"1_weight, 0"
18,0,0,1_weight,I don't feel heavier or lighter than before.,"1_weight, 0"
19,0,0,1_weight,"No concerns with my weight, it's pretty stable.","1_weight, 0"
20,0,0,1_weight,I haven't lost or gained weight recently.,"1_weight, 0"
21,0,0,1_weight,Everything seems normal with my weight.,"1_weight, 0"
22,1,1,1_weight,I gain some weight recently.,"1_weight, 1"
23,1,1,1_weight,I am getting fatter these days.,"1_weight, 1"
24,1,1,1_weight,I lost some weight these days.,"1_weight, 1"
25,1,1,1_weight,I lost some weight recently.,"1_weight, 1"
26,1,1,1_weight,I get some weight these days.,"1_weight, 1"
27,1,1,1_weight,I am on diet to lose weight.,"1_weight, 1"
28,1,1,1_weight,I got a little bit weight these days.,"1_weight, 1"
29,1,1,1_weight,I gain a little bit weight these days.,"1_weight, 1"
30,1,1,1_weight,I loss a little bit weight these days.,"1_weight, 1"
31,1,1,1_weight,My weight has increased a little bit.,"1_weight, 1"
32,1,1,1_weight,I've gained a few pounds recently.,"1_weight, 1"
33,1,1,1_weight,"My weight is slightly up, but nothing drastic.","1_weight, 1"
34,1,1,1_weight,I think I've put on a little weight.,"1_weight, 1"
35,1,1,1_weight,"I've lost a few pounds, but it's not a big concern.","1_weight, 1"
36,1,1,1_weight,I feel a little heavier than before.,"1_weight, 1"
37,1,1,1_weight,I think my weight is fluctuating a bit.,"1_weight, 1"
38,1,1,1_weight,My clothes are fitting a bit tighter than usual.,"1_weight, 1"
39,1,1,1_weight,I noticed some minor weight gain recently.,"1_weight, 1"
40,1,1,1_weight,"I've been losing a little weight, but I'm not too worried.","1_weight, 1"
41,1,1,1_weight,"I've been eating more than usual, so I think I gained some weight.","1_weight, 1"
42,1,1,1_weight,"I've been dieting, and I lost a little weight.","1_weight, 1"
43,1,1,1_weight,My weight is slightly lower than before.,"1_weight, 1"
44,1,1,1_weight,"I think my weight is shifting a little, but not too much.","1_weight, 1"
45,1,1,1_weight,"I’ve noticed some small changes in my weight, but nothing alarming.","1_weight, 1"
46,2,2,1_weight,I didn't measure my weight recently.,"1_weight, 2"
47,2,2,1_weight,My weight has increased a lot these days.,"1_weight, 2"
48,2,2,1_weight,My weight has been going up a lot recently.,"1_weight, 2"
49,2,2,1_weight,I get significantly amount of weight these days.,"1_weight, 2"
50,2,2,1_weight,My weight has decreased a lot these days.,"1_weight, 2"
51,2,2,1_weight,My weight has been going down a lot recently.,"1_weight, 2"
52,2,2,1_weight,I lost a lot of weight these days.,"1_weight, 2"
53,2,2,1_weight,"I've been losing weight rapidly, and I don’t know why.","1_weight, 2"
54,2,2,1_weight,"I’ve gained a significant amount of weight, and I’m concerned.","1_weight, 2"
55,2,2,1_weight,My weight has been fluctuating a lot in a short period.,"1_weight, 2"
56,2,2,1_weight,"I lost a lot of weight without trying, and it's worrying me.","1_weight, 2"
57,2,2,1_weight,I can't seem to stop gaining weight no matter what I do.,"1_weight, 2"
58,2,2,1_weight,"My weight keeps dropping, and I feel weaker.","1_weight, 2"
59,2,2,1_weight,I've gained an unhealthy amount of weight recently.,"1_weight, 2"
60,2,2,1_weight,I feel like my weight is out of control.,"1_weight, 2"
61,2,2,1_weight,I lost so much weight that my clothes don’t fit anymore.,"1_weight, 2"
62,2,2,1_weight,"I have no appetite, and I’ve been losing weight quickly.","1_weight, 2"
63,2,2,1_weight,My weight gain is affecting my daily activities.,"1_weight, 2"
64,2,1,1_weight,"I’ve been trying to manage my weight, but nothing is working.","1_weight, 1"
65,2,2,1_weight,I feel like I’ve put on too much weight too fast.,"1_weight, 2"
66,2,2,1_weight,My sudden weight change is starting to affect my health.,"1_weight, 2"
