idx,stage,y_true,y_pred,statement,candidate,raw
0,stage2,0,0,I lost a lot of weight lately. I haven't been eating well because I'm too busy.,"Maybe not eating enough will make me more tired, and I will be less efficient at my work.",DECISION: 0
1,stage2,0,0,I lost a lot of weight lately. I haven't been eating well because I'm too busy.,Perhaps I am hungry but the stress just takes over and I can't feel it.,DECISION: 0
2,stage2,0,0,I lost a lot of weight lately. I haven't been eating regularly because I'm too busy.,Maybe I am hungry but I just don't feel it.,DECISION: 0
3,stage2,0,0,I gained a lot of weight recently because I can't control what to eat. I always feel hungry and need to eat something.,How am I sure that the food I eat are not high calorie? Did I check the label before eating it or am I just deceiving myself?,DECISION: 0
4,stage2,0,0,I gained a lot of weight recently. I feel so fat right now.,Does eating more actually relive my stress? Could there be other ways to relax?,DECISION: 0
5,stage2,0,0,I gained a lot of weight recently because I'm too lazy to move and I love eating junk food. They are very good and don't like to eat other things.,Does excercising really take that much effort? I might have chose the wrong excercises to do. Could there be other food that are also tasty and cheap?,DECISION: 0
6,stage2,0,0,I feel a lot of pressure recently. I'm just overwhelmed by all the tasks that I have to finish.,Will I actually be judged if I miss a deadline or two? Maybe I shouldn't be too worried right now because there is still time.,DECISION: 0
7,stage2,0,0,I feel a lot of pressure recently and I don't know what to do. I think I overestimated what I can complete.,Will I actually be judged if I miss a deadline or two? Maybe I shouldn't be too worried right now because there is still time.,DECISION: 0
8,stage2,0,0,I am very sad these days because I don't have any friends in the city I just I moved to and I can't make any.,Are there really no one that wants new friends at this place? Maybe there are newcomers like me or some people are just more welcoming. Is walking up to random people the only way to make friends?,DECISION: 0
9,stage2,0,0,I am very sad these days because I don't have any friends in the city I just I moved to and I can't make any.,Are there really no one that wants new friends at this place? Maybe there are newcomers like me or some people are just more welcoming. Is walking up to random people the only way to make friends?,DECISION: 0
10,stage2,1,1,I feel very depressed. I can't do anything.,I really can't think of any reasons.,DECISION: 1
11,stage2,0,0,I always forget to take my medications. I don't feel its effect anyway.,How do I know that the medications doesn't work? Is feeling the correct way to assess its effectiveness? ,DECISION: 0
12,stage2,0,0,I don't want to take any medications. I don't know what they would do to me.,Have I done any research about the content of the pills? Is there any reason that the doctor does not want to help me?,DECISION: 0
13,stage2,1,1,I don't want to take any medications. I don't trust them.,I don't know how I can prove that that the medications work. Most people don't get better anyways.,DECISION: 1
14,stage2,0,0,I take medications when I feel like it. I skip some days if I'm feeling alright.,How do I know that the medications will have the same effect if I don't take it as prescribed. ,DECISION: 0
15,stage2,0,0,I did not see my therapist consistently. I don't think they help me.,Perhaps the effect is not shorterm and I just have wait it out. Maybe other people can see that I got better but I don't feel the difference as much.,DECISION: 0
16,stage2,1,1,I did not see my therapist consistently. I don't think they help me.,I think seeing them consistently is not gonna help me.,DECISION: 1
17,stage2,0,0,"I'm way too busy and stressed out lately, I have no time to see my therapist. There's just too many things on top of my mind.",Maybe going to therapist is not a waste of time. It might not even take that long. I can still finish other things.,DECISION: 0
18,stage2,0,0,I always forget to schedule an appointment with my doctor. I don't feel like its necessary at this point.,Scheduling an appointment might not be that hard. There could be other ways to setup a regular schedule and have someone remind me.,DECISION: 0
