idx,stage,y_true,y_pred,statement,candidate,raw
0,stage3,0,0,I lost a lot of weight lately. I haven't been eating well because I'm too busy.,I can eat healthy foods that does not take too long to eat. This way I can be efficient and maintain my weight.,DECISION: 0
1,stage3,0,0,I lost a lot of weight lately. I haven't been eating well because I'm too busy.,I can set a regular schedule dedicated for meals and stay healthy that way.,DECISION: 0
2,stage3,1,1,I lost a lot of weight lately. I haven't been eating regularly because I'm too busy.,I will just force myself to eat even when I don't want to.,DECISION: 1
3,stage3,1,1,I gained a lot of weight recently because I can't control what to eat. I always feel hungry and need to eat something.,"I will check the labels next time before I eat something, but that probably won't stop me from eating it.",DECISION: 1
4,stage3,0,0,I gained a lot of weight recently. I feel so fat right now.,"I can try to find another way to deal with stress that does not involve excessive eating, or eat something healthier.",DECISION: 0
5,stage3,0,0,I gained a lot of weight recently because I'm too lazy to move and I love eating junk food. They are very good and don't like to eat other things.,I will start with some easier excerise and watch some food reviews to find tasty and good food.,DECISION: 0
6,stage3,0,0,I feel a lot of pressure recently. I'm just overwhelmed by all the tasks that I have to finish.,I don't need to feel too much pressure because I can probably finish everything on time and it wouldn't be the end of my life if I don't. Everyone makes mistakes.,DECISION: 0
7,stage3,1,1,I feel a lot of pressure recently and I don't know what to do. I think I overestimated what I can complete.,I still can't imagine if I would be fine. I must work even harder.,DECISION: 1
8,stage3,0,0,I am very sad these days because I don't have any friends in the city I just I moved to and I can't make any.,There are many ways to make new friends. I can go on social media and find people with the same hobbies.,DECISION: 0
9,stage3,1,1,I am very sad these days because I don't have any friends in the city I just I moved to and I can't make any.,I am not confident in meeting new people. Maybe I will just stay this way and just live with it. ,DECISION: 1
10,stage3,1,1,I feel very depressed. I can't do anything.,It's pobably not a big deal. I will stay depressed.,DECISION: 1
11,stage3,0,0,I always forget to take my medications. I don't feel its effect anyway.,The medications are probably working and it just takes more time to feel the effect. Maybe me not taking it regularly is acutally the reason that its not working.,DECISION: 0
12,stage3,0,0,I don't want to take any medications. I don't know what they would do to me.,I should trust the doctors and take the medications on time. I can also do some research my self and consult more professionals.,DECISION: 0
13,stage3,1,1,I don't want to take any medications. I don't trust them.,I will just get better by myself. Taking the medication is a pain.,DECISION: 1
14,stage3,0,0,I take medications when I feel like it. I skip some days if I'm feeling alright.,"Since I haven't tried to take it regularly, I should try it and then decide whether I need a different treatment.",DECISION: 0
15,stage3,0,0,I did not see my therapist consistently. I don't think they help me.,"The shorterm effect could be important for me too, and the long term effect is just happening slowly and I need more time to see it.",DECISION: 0
16,stage3,1,1,I did not see my therapist consistently. I don't think they help me.,I don't want to do these sessions anymore.,DECISION: 1
17,stage3,0,0,"I'm way too busy and stressed out lately, I have no time to see my therapist. There's just too many things on top of my mind.",Going to therapist regularly can help my stress. I might become more efficient and feel better.,DECISION: 0
18,stage3,0,0,I always forget to schedule an appointment with my doctor. I don't feel like its necessary at this point.,I can express my need to the doctor and we might be able to setup something that is easy for me and also remind me beforehand.,DECISION: 0
19,stage3,1,1,I always forget to schedule an appointment with my doctor. I don't feel like its necessary at this point.,"I guess making an appoinment isn't that much trouble, but I still don't want to go.",DECISION: 1
20,stage3,0,0,I don't organize my house that often. I'm too lazy to do it.,I can organize thing at small batches. That way it doesn't take too much effort or time. I can also not add to the pile.,DECISION: 0
21,stage3,0,0,I can't be bothered to clean my house. It's not like that's gonna kill me.,I did enjoy the house clean at first. A cleaner room will cause less bugs or bacteria to form. I can find things more easily in a clean house.,DECISION: 0
22,stage3,1,1,"I want to clean my apartment once a week, but I'm hardly doing it.",I still don't think I can do it regulalry. I can't find the motivation to do it when it doesn't look that bad.,DECISION: 1
23,stage3,0,0,I awlays pile my trash up. I think it just doesn't bother me.,"Even if it doesn't bother me too much, it might bother someone else, and not piling trash isn't that hard to do so I might try something first. ",DECISION: 0
24,stage3,0,0,I don't like to talk to other people. I always start an argument.,"Even if I do argue, we can have an intelligent discussion and maintain our good relations. And I also don't need to argue with everything I disagree with.",DECISION: 0
25,stage3,0,0,I find it very tiring to talk to other people. I have to care about what they think.,"I can talk to friends that I know I won't easily offend, or someone who is comfortable with me. Even if I say something wrong, I can just correct my wording or apologize. ",DECISION: 0
26,stage3,1,1,I don't have anyone to talk to. No one really finds me to talk.,I guess I just have to live like this.,DECISION: 1
27,stage3,0,0,"I don't know what to talk about with others, so I just don't talk to anyone.","It's okay to engage in simple, casual conversations. These moments can also strengthen bonds and create a comfortable space for everyone.",DECISION: 0
28,stage3,1,1,"I don't know what to talk about with others, so I just don't talk to anyone.",Maybe not talking to anyone is ok for me.,DECISION: 1
29,stage3,0,0,"I'm afraid I might say something out of place in a conversation, that's why I never start a conversation.","It's ok to start a conversation and talk about something I'm thinking. Even if I did say something wrong, others might not even be concerned about it.",DECISION: 0
30,stage3,0,0,I find it hard to express my feelings. I don't reall express my feelings to anyone honestly.,"Expressing my feelings honestly might actually lead to stronger, more authentic connections with others. Everyone has vulnerabilities, and sharing mine could encourage others to open up too, leading to mutual understanding and support.",DECISION: 0
31,stage3,1,1,I find it hard to express my feelings. I don't reall express my feelings to anyone honestly.,"Still, I don't feel the need to express my feelings.",DECISION: 1
32,stage3,0,0,I want to express my feelings to other people but I don't know how to do it correctly.,Expressing feelings is a skill that improves with practice and there's no single right way to do it. It's important to be genuine and considerate in my approach.,DECISION: 0
